user_email_setup_tokens	created_by_user_id,user_id	0	0
user_notification_topic_channels	user_id	0	0
user_notification_topics	user_id	0	0
user_oauth_bindings	provider_user_id,user_id	0	0
user_password_credentials	user_id	0	0
user_phone_history	platform_user_id	0	0
user_pins	user_id	0	0
user_subscriptions_webapp	integrator_user_id	0	0
user_web_push_subscriptions	user_id	0	0
webapp_reminder_occurrences	platform_user_id	0	0
webapp_schema_migrations		0	0
