SCOPED|public.message_log
SCOPED|public.motivational_quotes
SCOPED|public.notification_delivery_attempts
SCOPED|public.online_intake_answers
SCOPED|public.online_intake_attachments
SCOPED|public.online_intake_requests
SCOPED|public.online_intake_status_history
SCOPED|public.patient_comorbidity
SCOPED|public.patient_content_rating_feedback
SCOPED|public.patient_daily_warmup_presentations
SCOPED|public.patient_daily_warmup_video_views
SCOPED|public.patient_diary_day_snapshots
SCOPED|public.patient_files
SCOPED|public.patient_home_block_items
SCOPED|public.patient_home_blocks
SCOPED|public.patient_lfk_assignments
SCOPED|public.patient_merge_candidates
SCOPED|public.patient_payment
SCOPED|public.patient_practice_completions
SCOPED|public.product_push_notifications
SCOPED|public.program_action_log
SCOPED|public.program_item_discussion_messages
SCOPED|public.program_item_discussion_reads
SCOPED|public.recommendation_regions
SCOPED|public.recommendations
SCOPED|public.reference_categories
SCOPED|public.reference_items
SCOPED|public.reminder_delivery_events
SCOPED|public.reminder_journal
SCOPED|public.reminder_occurrence_history
SCOPED|public.reminder_rules
SCOPED|public.specialist_tasks
SCOPED|public.support_conversation_messages
SCOPED|public.support_conversations
SCOPED|public.support_delivery_events
SCOPED|public.support_question_messages
SCOPED|public.support_questions
SCOPED|public.symptom_entries
SCOPED|public.symptom_trackings
SCOPED|public.test_attempts
SCOPED|public.test_results
SCOPED|public.test_set_items
SCOPED|public.test_sets
SCOPED|public.tests
SCOPED|public.treatment_program_events
SCOPED|public.treatment_program_instance_stage_groups
SCOPED|public.treatment_program_instance_stage_items
SCOPED|public.treatment_program_instance_stages
SCOPED|public.treatment_program_instances
SCOPED|public.treatment_program_template_stage_groups
SCOPED|public.treatment_program_template_stage_items
SCOPED|public.treatment_program_template_stages
SCOPED|public.treatment_program_templates
SCOPED|public.user_subscriptions_webapp
SCOPED|public.webapp_reminder_occurrences
TELEMETRY|public.media_hls_proxy_error_events
TELEMETRY|public.operator_health_failure_archive
TELEMETRY|public.product_analytics_events_recent
TELEMETRY|public.product_analytics_user_hourly
